epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1377.5,1.02371,0.77171,1.13288,0.7209,0.69952,0.70493,0.47694,1.24915,0.8563,1.25611,0.000161,0.000161,0.000161
90,1392.65,1.04518,0.8087,1.15475,0.72855,0.63063,0.70462,0.47919,1.25452,0.86256,1.25674,0.000148625,0.000148625,0.000148625
91,1411.23,1.00222,0.73863,1.13085,0.70326,0.69142,0.68659,0.4601,1.28576,0.86603,1.29209,0.00013625,0.00013625,0.00013625
92,1426.14,0.97017,0.70058,1.1041,0.72034,0.6898,0.70228,0.46265,1.28134,0.83421,1.2848,0.000123875,0.000123875,0.000123875
93,1440.99,0.95878,0.69934,1.09693,0.84425,0.59237,0.79042,0.55548,1.23388,0.83908,1.2556,0.0001115,0.0001115,0.0001115
94,1455.62,0.93775,0.69198,1.09076,0.838,0.61044,0.7892,0.54019,1.24786,0.83914,1.2588,9.9125e-05,9.9125e-05,9.9125e-05
95,1470.41,0.93938,0.67777,1.09355,0.80708,0.64714,0.7913,0.5578,1.24036,0.82855,1.27466,8.675e-05,8.675e-05,8.675e-05
96,1485.89,0.93419,0.67259,1.08404,0.77993,0.65326,0.70348,0.47328,1.22508,0.81942,1.26848,7.4375e-05,7.4375e-05,7.4375e-05
97,1500.78,0.92801,0.67773,1.09191,0.78636,0.63884,0.70224,0.47276,1.23799,0.84848,1.2612,6.2e-05,6.2e-05,6.2e-05
98,1515.69,0.91687,0.66972,1.09231,0.79957,0.62446,0.78441,0.53984,1.24015,0.84718,1.26622,4.9625e-05,4.9625e-05,4.9625e-05
99,1530.36,0.91517,0.65795,1.07106,0.7959,0.6269,0.78343,0.5407,1.22951,0.82204,1.2645,3.725e-05,3.725e-05,3.725e-05
100,1545.26,0.92033,0.66205,1.08236,0.80197,0.6366,0.78641,0.54222,1.22258,0.8248,1.25836,2.4875e-05,2.4875e-05,2.4875e-05
